event_id,Campeonato,Time Casa,Time Visitante,Gols Casa,Gols Visitante,Status,Data e Hora,Time Referência,Num Gols,Cartões Amarelos,Cartões Vermelhos
13640480,"CONMEBOL Sudamericana, Group H",Atlético Mineiro,Cienciano,1.0,1.0,Ended,2025-05-30 00:30:00,Atlético Mineiro,2,0,0
13472708,Brasileirão Betano,Ceará,Atlético Mineiro,0.0,1.0,Ended,2025-06-01 21:30:00,Atlético Mineiro,1,0,0
13472737,Brasileirão Betano,Atlético Mineiro,Internacional,2.0,0.0,Ended,2025-06-13 00:30:00,Atlético Mineiro,2,0,0
13198222,Carioca Série A – Taça Guanabara,Fluminense,Nova Iguaçu,2.0,0.0,Ended,2025-02-16 19:00:00,Fluminense,2,0,0
13198227,Carioca Série A – Taça Guanabara,Fluminense,Bangu Atlético Clube,3.0,2.0,Ended,2025-02-23 21:30:00,Fluminense,5,0,0
13458057,Copa Betano do Brasil,Águia de Marabá FC,Fluminense,0.0,8.0,Ended,2025-02-26 22:30:00,Fluminense,8,0,0
13525559,Carioca Série A – Mata-mata,Fluminense,Volta Redonda,4.0,0.0,Ended,2025-03-02 21:00:00,Fluminense,4,0,0
13541965,Copa Betano do Brasil,Caxias,Fluminense,1.0,2.0,Ended,2025-03-05 22:00:00,Fluminense,3,0,0
13525562,Carioca Série A – Mata-mata,Volta Redonda,Fluminense,0.0,0.0,Ended,2025-03-09 21:00:00,Fluminense,0,0,0
13586982,Carioca Série A – Mata-mata,Fluminense,Flamengo,1.0,2.0,Ended,2025-03-13 00:30:00,Fluminense,3,0,0
13592141,Carioca Série A – Mata-mata,Flamengo,Fluminense,0.0,0.0,Ended,2025-03-16 19:00:00,Fluminense,0,0,0
13473346,Brasileirão Betano,Fortaleza,Fluminense,2.0,0.0,Ended,2025-03-29 21:30:00,Fluminense,2,0,0
13640391,"CONMEBOL Sudamericana, Group F",Once Caldas,Fluminense,0.0,1.0,Ended,2025-04-02 00:30:00,Fluminense,1,0,0
13473348,Brasileirão Betano,Fluminense,Red Bull Bragantino,2.0,1.0,Ended,2025-04-06 19:00:00,Fluminense,3,0,0
13640416,"CONMEBOL Sudamericana, Group F",Fluminense,GV San José,5.0,0.0,Ended,2025-04-11 00:30:00,Fluminense,5,0,0
13473358,Brasileirão Betano,Fluminense,Santos,1.0,0.0,Ended,2025-04-13 22:30:00,Fluminense,1,0,0
13473370,Brasileirão Betano,Corinthians,Fluminense,0.0,2.0,Ended,2025-04-16 22:30:00,Fluminense,2,0,0
13473378,Brasileirão Betano,Fluminense,Vitória,1.0,1.0,Ended,2025-04-20 21:30:00,Fluminense,2,0,0
13640422,"CONMEBOL Sudamericana, Group F",Unión Española,Fluminense,1.0,1.0,Ended,2025-04-23 22:00:00,Fluminense,2,0,0
13473389,Brasileirão Betano,Botafogo,Fluminense,2.0,0.0,Ended,2025-04-27 00:00:00,Fluminense,2,0,0
13742583,Copa Betano do Brasil,Fluminense,AA Aparecidense,1.0,0.0,Ended,2025-04-30 00:30:00,Fluminense,1,0,0
13473398,Brasileirão Betano,Fluminense,Sport Recife,2.0,1.0,Ended,2025-05-03 21:30:00,Fluminense,3,0,0
13640448,"CONMEBOL Sudamericana, Group F",GV San José,Fluminense,1.0,0.0,Ended,2025-05-09 00:30:00,Fluminense,1,0,0
